Default,loan_amnt,int_rate,grade,emp_length,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,revol_bal,revol_util,total_pymnt
0,5000,10.65%,B,10+ years,27.65,0,1,,3,13648,83.70%,5863.155187
1,2500,15.27%,C,< 1 year,1,0,5,,3,1687,9.40%,1008.71
0,2400,15.96%,C,10+ years,8.72,0,2,,2,2956,98.50%,3005.666844
0,10000,13.49%,C,10+ years,20,0,1,35,10,5598,21%,12231.89
0,3000,12.69%,B,1 year,17.94,0,0,38,15,27783,53.90%,3581.12
0,5000,7.90%,A,3 years,11.2,0,3,,9,7963,28.30%,5632.21
0,7000,15.96%,C,8 years,23.51,0,1,,7,17726,85.60%,10137.84001
0,3000,18.64%,E,9 years,5.35,0,2,,4,8221,87.50%,3939.135294
1,5600,21.28%,F,4 years,5.55,0,2,,11,5210,32.60%,646.02
1,5375,12.69%,B,< 1 year,18.08,0,0,,2,9279,36.50%,1476.19
0,6500,14.65%,C,5 years,16.12,0,2,,14,4032,20.60%,7678.017673
0,12000,12.69%,B,10+ years,10.78,0,0,,12,23336,67.10%,13947.98916
1,9000,13.49%,C,< 1 year,10.08,0,1,,4,10452,91.70%,2270.7
0,3000,9.91%,B,3 years,12.56,0,2,,11,7323,43.10%,3480.269999
1,10000,10.65%,B,3 years,7.06,0,2,,14,11997,55.50%,7471.99
0,1000,16.29%,D,< 1 year,20.31,0,1,,11,6524,81.50%,1270.716942
0,10000,15.27%,C,4 years,18.6,0,2,61,14,24043,70.20%,12527.15
0,3600,6.03%,A,10+ years,10.52,0,0,,20,22836,16%,3785.271965
0,6000,11.71%,B,1 year,18.44,2,0,8,4,0,37.73%,7167.072893
0,9200,6.03%,A,6 years,9.86,0,0,,8,7314,23.10%,9460.000848
0,20250,15.27%,C,3 years,26.53,0,3,,8,17813,85.60%,27679.05
1,21000,12.42%,B,10+ years,13.22,0,0,,7,32135,90.30%,14025.4
0,10000,11.71%,B,10+ years,11.18,0,0,,8,10056,82.40%,11907.35
